"","NR.AhR","NR.AR","NR.AR.LBD","NR.Aromatase","NR.ER","NR.ER.LBD","NR.PPAR.gamma","SR.ARE","SR.ATAD5","SR.HSE","SR.MMP","SR.p53"
"NCGC00016373-08",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00016789-06",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00018250-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00253588-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00015096-17",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00161420-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00260347-01",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00166070-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00167430-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00016710-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016059-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00161621-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00162179-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00181782-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00263542-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00167547-02",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00164631-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00166245-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00253592-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00181767-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016345-08",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00164283-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00187943-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00166247-02",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00179596-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00166146-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00261967-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00018254-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00182055-03",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00166290-03",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00167490-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016622-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015838-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00025187-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00186653-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00025302-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00262908-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00015619-13",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00179642-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00013683-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015563-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00179536-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00160483-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016913-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00167729-03",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00015856-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00181016-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00274067-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00263543-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00263581-01",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00095264-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00253604-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00025349-05",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00344543-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015826-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00160664-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00018258-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00179676-03",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00095169-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00249921-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00344561-01",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00181129-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00095196-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00159449-04",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00161602-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00017323-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00262926-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00166142-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00165740-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00091195-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00160556-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00159417-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00164034-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00164581-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015254-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00024778-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00024379-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00163468-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00025060-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00263568-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016786-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00091120-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00169964-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00263539-01",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00015774-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015718-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00160566-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00160554-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00258497-01",NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00159458-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00160590-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00263480-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00163125-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00164139-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00017324-07",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00159462-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00182059-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015155-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00167500-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00091585-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00182850-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00262942-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00178069-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00250401-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00182060-03",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00178369-05",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00016246-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00253658-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00164483-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00160412-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00022001-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00091250-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00319019-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00159456-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00018158-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00094574-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00262950-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00160408-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00095082-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00091455-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00319023-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00160665-02",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00249916-01",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00160648-02",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00168085-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00160373-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00178737-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00263572-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015360-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016876-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00017257-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00262533-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00164590-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00159544-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00025212-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00263565-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00163778-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00263548-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016765-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00253742-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00188346-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00091532-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00164625-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00091183-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00249891-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00094561-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00023064-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00024246-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00165767-04",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00263521-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00159346-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00166086-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00018139-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00179385-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015121-17",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00015714-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00164633-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015455-10",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00016960-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016610-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00253726-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016384-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00249925-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015819-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00024777-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00178697-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016498-08",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00013130-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00165846-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00167537-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00168254-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015985-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00018100-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00253702-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00168464-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015004-13",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00253606-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00271513-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00253713-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00179578-03",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00025179-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00017400-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00163169-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00262954-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015928-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00160398-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00161601-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016490-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00166006-02",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00249900-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00188865-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015870-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00179274-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00164501-02",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00253587-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00181039-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00159551-02",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00160370-02",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00094852-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00178555-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00094937-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00160527-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00168759-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016278-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00253693-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00159451-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00163786-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00344565-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00253598-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00160553-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00249902-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015818-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00164546-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00166309-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00091009-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00161634-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00182082-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00159336-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00018237-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00259302-01",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00016296-07",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00095109-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00094614-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00094818-09",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00164155-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015558-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00249050-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00166134-02",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00021304-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00249912-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00164503-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00159387-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00178802-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00167467-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00167509-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00249052-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00178241-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00162116-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00021125-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00023016-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00178782-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00159340-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00189073-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00160438-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00095209-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00024494-02",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00253603-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00167524-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00168352-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00063561-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00093949-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00166298-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00024196-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00025004-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00249931-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
